1,Yoan Moncada,2b,Red Sox
2,Alex Reyes,rhp,Cardinals
3,J.P. Crawford,ss,Phillies
4,Lucas Giolito,rhp,Nationals
5,Trea Turner,ss,Nationals
6,Tyler Glasnow,rhp,Pirates
7,Dansby Swanson,ss,Braves
8,Alex Bregman,ss,Astros
9,Andrew Benintendi,of,Red Sox
10,Austin Meadows,of,Pirates
11,Joey Gallo,3b,Rangers
12,Brendan Rodgers,ss,Rockies
13,Victor Robles,of,Nationals
14,Orlando Arcia,ss,Brewers
15,Anderson Espinoza,rhp,Red Sox
16,David Dahl,of,Rockies
17,Ozzie Albies,ss,Braves
18,Amed Rosario,ss,Mets
19,Jorge Mateo,ss,Yankees
20,Jose Berrios,rhp,Twins
21,Clint Frazier,of,Indians
22,Josh Hader,lhp,Brewers
23,Willy Adames,ss,Rays
24,Cody Bellinger,1b,Dodgers
25,Jose De Leon,rhp,Dodgers
26,Bradley Zimmer,of,Indians
27,Gleyber Torres,ss,Cubs
28,Brent Honeywell,rhp,Rays
29,Francis Martes,rhp,Astros
30,Lewis Brinson,of,Rangers
31,Amir Garrett,lhp,Reds
32,Joe Musgrove,rhp,Astros
33,Sean Newcomb,lhp,Braves
34,Nick Gordon,ss,Twins
35,Kyle Tucker,of,Astros
36,Gary Sanchez,c,Yankees
37,Ian Happ,2b,Cubs
38,Josh Bell,1b,Pirates
39,Manuel Margot,of,Padres
40,Nick Williams,of,Phillies
41,Rafael Devers,3b,Red Sox
42,Aaron Judge,of,Yankees
43,Tyler Jay,lhp,Twins
44,Alex Verdugo,of,Dodgers
45,Tyler O'Neill,of,Mariners
46,Eloy Jimenez,of,Cubs
47,David Paulino,rhp,Astros
48,Reynaldo Lopez,rhp,Nationals
49,Jeff Hoffman,rhp,Rockies
50,Phil Bickford,rhp,Giants
51,Kevin Newman,ss,Pirates
52,Mitch Keller,rhp,Pirates
53,Franklin Barreto,ss,Athletics
54,Jake Bauers,1b/of,Rays
55,Raul A. Mondesi,ss,Royals
56,Christian Arroyo,ss,Giants
57,Trent Clark,of,Brewers
58,Brett Phillips,of,Brewers
59,Brady Aiken,lhp,Indians
60,Grant Holmes,rhp,Dodgers
61,Erick Fedde,rhp,Nationals
62,Jake Thompson,rhp,Phillies
63,Braden Shipley,rhp,Diamondbacks
64,Bobby Bradley,1b,Indians
65,Robert Stephenson,rhp,Reds
66,Hunter Renfroe,of,Padres
67,Jorge Alfaro,c,Phillies
68,Jesse Winker,of,Reds
69,Justus Sheffield,lhp,Indians
70,Francisco Mejia,c,Indians
71,Mike Clevinger,rhp,Indians
72,Ke'Bryan Hayes,3b,Pirates
73,Carson Fulmer,rhp,White Sox
74,Luis Ortiz,rhp,Rangers
75,Luke Weaver,rhp,Cardinals
76,Dominic Smith,1b,Mets
77,Kolby Allard,lhp,Braves
78,Mike Soroka,rhp,Braves
79,Raimel Tapia,of,Rockies
80,Andrew Knapp,c,Phillies
81,Tyler Beede,rhp,Giants
82,Frankie Montas,rhp,Dodgers
83,Chris Shaw,1b,Giants
84,Sean-Reid Foley,rhp,Blue Jays
85,Chance Sisco,c,Orioles
86,Anthony Alford,of,Blue Jays
87,Javier Guerra,ss,Padres
88,Jack Flaherty,rhp,Cardinals
89,Harrison Bader,of,Cardinals
90,Conner Greene,rhp,Blue Jays
91,Adalberto Mejia,lhp,Giants
92,Ryan McMahon,3b,Rockies
93,Michael Kopech,rhp,Red Sox
94,Derek Fisher,of,Astros
95,Touki Toussaint,rhp,Braves
96,Franklyn Kilome,rhp,Phillies
97,Jorge Polanco,2b,Twins
98,Willie Calhoun,2b,Dodgers
99,James Kaprielian,rhp,Yankees
100,Josh Naylor,1b,Marlins
