1,Andrew Benintendi of,Red Sox
2,Yoan Moncada 2b/3b,White Sox
3,Dansby Swanson ss,Braves
4,Alex Reyes rhp,Cardinals
5,Gleyber Torres ss,Yankees
6,Austin Meadows of,Pirates
7,Cody Bellinger 1b,Dodgers
8,Amed Rosario ss,Mets
9,Nick Senzel 3b,Reds
10,Willy Adames ss,Rays
11,Ozzie Albies 2b/ss,Braves
12,J.P. Crawford ss,Phillies
13,Victor Robles of,Nationals
14,Eloy Jimenez of,Cubs
15,Francis Martes rhp,Astros
16,Brendan Rodgers ss/2b,Rockies
17,Mickey Moniak of,Phillies
18,Rafael Devers 3b,Red Sox
19,Kyle Tucker of,Astros
20,Vladimir Guerrero Jr. 3b,Blue Jays
21,Anderson Espinoza rhp,Padres
22,Mitch Keller rhp,Pirates
23,Tyler Glasnow rhp,Pirates
24,Manuel Margot of,Padres
25,Lucas Giolito rhp,White Sox
26,Yadier Alvarez rhp,Dodgers
27,Lewis Brinson of,Brewers
28,Francisco Mejia c,Indians
29,Jose De Leon rhp,Rays
30,Brent Honeywell rhp,Rays
31,Reynaldo Lopez rhp,White Sox
32,Michael Kopech rhp,White Sox
33,Josh Hader lhp,Brewers
34,Kyle Lewis of,Mariners
35,Josh Bell 1b,Pirates
36,Jeff Hoffman rhp,Rockies
37,Kolby Allard lhp,Braves
38,Tyler O’Neill of,Mariners
39,Clint Frazier of,Yankees
40,Franklin Barreto ss/2b,Athletics
41,Jorge Alfaro c,Phillies
42,Corey Ray of,Brewers
43,Jason Groome lhp,Red Sox
44,Hunter Renfroe of,Padres
45,Blake Rutherford of,Yankees
46,Riley Pint rhp,Rockies
47,Leody Taveras of,Rangers
48,Mike Soroka rhp,Braves
49,Raimel Tapia of,Rockies
50,Luke Weaver rhp,Cardinals
51,David Paulino rhp,Astros
52,Erick Fedde rhp,Nationals
53,German Marquez rhp,Rockies
54,Franklin Perez rhp,Astros
55,Kevin Newman ss,Pirates
56,Zack Collins c,White Sox
57,Chance Sisco c,Orioles
58,Alex Verdugo of,Dodgers
59,Anthony Alford of,Blue Jays
60,Nick Gordon ss,Twins
61,Matt Manning rhp,Tigers
62,Bradley Zimmer of,Indians
63,Ian Happ 2b/of,Cubs
64,Albert Almora of,Cubs
65,Carson Kelly c,Cardinals
66,Ian Anderson rhp,Braves
67,Ronald Acuna of,Braves
68,Triston McKenzie rhp,Indians
69,Cody Reed lhp,Reds
70,Jake Bauers of/1b,Rays
71,Dominic Smith 1b,Mets
72,A.J. Reed 1b,Astros
73,Lourdes Gurriel of/3B,Blue Jays
74,Casey Gillaspie 1b,Rays
75,Sean Reid-Foley rhp,Blue Jays
76,Braxton Garrett lhp,Marlins
77,Kevin Maitan ss,Braves
78,Sean Newcomb lhp,Braves
79,Luis Ortiz rhp,Brewers
80,Sixto Sanchez rhp,Phillies
81,Amir Garrett lhp,Reds
82,Brandon Woodruff rhp,Brewers
83,A.J. Puk lhp,Athletics
84,Jharel Cotton rhp,Athletics
85,Jorge Mateo ss/2b,Yankees
86,Delvin Perez ss,Cardinals
87,James Kaprielian rhp,Yankees
88,Anthony Banda lhp,Diamondbacks
89,Tyler Beede rhp,Giants
90,Aaron Judge of,Yankees
91,Justus Sheffield lhp,Yankees
92,Willie Calhoun 2b/of,Dodgers
93,Isan Diaz ss/2b,Brewers
94,Matt Chapman 3b,Athletics
95,Rowdy Tellez 1b,Blue Jays
96,Cal Quantrill rhp,Padres
97,Dylan Cease rhp,Cubs
98,Adrian Morejon lhp,Padres
99,Stephen Gonsalves lhp,Twins
100,Justin Dunn rhp,Mets
