1,Ronald Acuna,OF,Braves
2,Shohei Ohtani,RHP,Angels
3,Vladimir Guerrero Jr.,3B,Blue Jays
4,Eloy Jimenez,OF,White Sox
5,Victor Robles,OF,Nationals
6,Gleyber Torres,SS,Yankees
7,Nick Senzel,3B,Reds
8,Bo Bichette,SS,Blue Jays
9,Fernando Tatis Jr,SS,Padres
10,Forrest Whitley,RHP,Astros
11,Michael Kopech,RHP,White Sox
12,Mitch Keller,RHP,Pirates
13,Walker Buehler,RHP,Dodgers
14,Brent Honeywell,RHP,Rays
15,Kyle Tucker,OF,Astros
16,J.P. Crawford,SS,Phillies
17,Alex Reyes,RHP,Cardinals
18,Lewis Brinson,OF,Brewers
19,Willy Adames,SS,Rays
20,Francisco Mejia,C,Indians
21,Austin Hays,OF,Orioles
22,Brendan Rodgers,SS,Rockies
23,Luiz Gohara,LHP,Braves
24,Royce Lewis,SS,Twins
25,Sixto Sanchez,RHP,Phillies
26,MacKenzie Gore,LHP,Padres
27,Mike Soroka,RHP,Braves
28,Michel Baez,RHP,Padres
29,Hunter Greene,RHP,Reds
30,A.J. Puk,LHP,Athletics
31,Scott Kingery,2B,Phillies
32,Luis Urias,2B,Padres
33,Triston McKenzie,RHP,Indians
34,Kyle Wright,RHP,Braves
35,Franklin Perez,RHP,Tigers
36,Willie Calhoun,OF,Rangers
37,Alex Verdugo,OF,Dodgers
38,Estevan Florial,OF,Yankees
39,Brendan McKay,LHP/1B,Rays
40,Keibert Ruiz,C,Dodgers
41,Justus Sheffield,LHP,Yankees
42,Ian Anderson,RHP,Braves
43,Franklin Barreto,SS,Athletics
44,Austin Meadows,OF,Pirates
45,Jake Bauers,1B,Rays
46,Jo Adell,OF,Angels
47,Keston Hiura,2B,Brewers
48,Taylor Trammell,OF,Reds
49,Jesus Sanchez,OF,Rays
50,Alex Faedo,RHP,Tigers
51,Leody Taveras,OF,Rangers
52,Cal Quantrill,RHP,Padres
53,Jack Flaherty,RHP,Cardinals
54,Austin Riley,3B,Braves
55,Carson Kelly,C,Cardinals
56,Juan Soto,OF,Nationals
57,Alec Hansen,RHP,White Sox
58,Luis Robert,OF,White Sox
59,Miguel Andujar,3B,Yankees
60,Anthony Alford,OF,Blue Jays
61,Brandon Woodruff,RHP,Brewers
62,Yordan Alvarez,1B,Astros
63,Ryan McMahon,1B,Rockies
64,Jorge Mateo,SS,Athletics
65,Kolby Allard,LHP,Braves
66,Adrian Morejon,LHP,Padres
67,Kyle Lewis,OF,Mariners
68,Chance Sisco,C,Orioles
69,Mitchell White,RHP,Dodgers
70,Sandy Alcantara,RHP,Marlins
71,Ryan Mountcastle,3B,Orioles
72,Max Fried,LHP,Braves
73,Jon Duplantier,RHP,Dbacks
74,Corbin Burnes,RHP,Brewers
75,Monte Harrison,OF,Brewers
76,J.B. Bukauskas,RHP,Astros
77,Albert Abreu,RHP,Yankees
78,Matt Manning,RHP,Tigers
79,Heliot Ramos,OF,Giants
80,Brett Phillips,OF,Brewers
81,Chance Adams,RHP,Yankees
82,Dane Dunning,RHP,White Sox
83,Jay Groome,LHP,Red Sox
84,Adonis Medina,RHP,Phillies
85,Michael Chavis,3B,Red Sox
86,Tyler ONeill,OF,Cardinals
87,Jorge Guzman,RHP,Marlins
88,Dustin Fowler,OF,Athletics
89,Jahmai Jones,OF,Angels
90,Tyler Mahle,RHP,Reds
91,Nate Pearson,RHP,Blue Jays
92,Brent Rooker,OF,Twins
93,Nick Gordon,SS,Twins
94,Andres Gimenez,SS,Mets
95,Wander Javier,SS,Twins
96,Wander Franco,SS,Rays
97,Stephen Gonsalves,LHP,Twins
98,Jesse Winker,OF,Reds
99,Riley Pint,RHP,Rockies
100,Adam Haseley,OF,Phillies 
