1,Yoan Moncada ,2b/3b,White Sox
2,Gleyber Torres ,ss,Yankees
3,Cody Bellinger ,1b,Dodgers
4,Austin Meadows ,of,Pirates
5,Amed Rosario ,ss,Mets
6,Nick Senzel ,3b,Reds
7,Willy Adames ,ss,Rays
8,Ozzie Albies ,2b/ss,Braves
9,Victor Robles ,of,Nationals
10,Alex Reyes ,rhp,Cardinals
11,Eloy Jimenez ,of,Cub
12,Brendan Rodgers ,ss/2b,Rockies
13,Mickey Moniak ,of,Phillies
14,Rafael Devers ,3b,Red Sox
15,Kyle Tucker ,of,Astros
16,Vladimir Guerrero Jr. ,3b,Blue Jays
17,Francis Martes ,rhp,Astros
18,Mitch Keller,rhp,Pirates
19,J.P. Crawford ,ss,Phillies
20,Lewis Brinson ,of,Brewers
21,Francisco Mejia ,c,Indians
22,Brent Honeywell ,rhp,Rays
23,Reynaldo Lopez ,rhp,White Sox
24,Michael Kopech ,rhp,White Sox
25,Franklin Barreto ,ss/2b,Athletics
26,Yadier Alvarez ,rhp,Dodgers
27,Jeff Hoffman ,rhp,Rockies
28,Kolby Allard ,lhp,Braves
29,Anderson Espinoza ,rhp,Padres
30,Kyle Lewis ,of,Mariners
31,Josh Hader ,lhp,Brewers
32,Jorge Alfaro ,c,Phillies
33,Clint Frazier ,of,Yankees
34,Anthony Alford ,of,Blue Jays
35,Tyler O'Neill ,of,Mariners
36,Corey Ray ,of,Brewers
37,Blake Rutherford ,of,Yankees
38,Jose De Leon,rhp,Rays
39,Franklin Perez ,rhp,Astros
40,Lucas Giolito ,rhp,White Sox
41,Jason Groome ,lhp,Red Sox
42,Riley Pint ,rhp,Rockies
43,Leody Taveras ,of,Rangers
44,Mike Soroka ,rhp,Braves
45,Raimel Tapia ,of,Rockies
46,Luke Weaver ,rhp,Cardinals
47,Nick Gordon ,ss,Twins
48,Erick Fedde ,rhp,Nationals
49,German Marquez ,rhp,Rockies
50,Kevin Newman ,ss,Pirates
51,Zack Collins ,c,White Sox
52,Chance Sisco ,c,Orioles
53,Alex Verdugo ,of,Dodgers
54,Bradley Zimmer ,of,Indians
55,Ian Happ ,2b/of,Cubs
56,Triston McKenzie ,rhp,Indians
57,Luis Urias ,2b,Padres
58,Carson Kelly ,c,Cardinals
59,Juan Soto,of,Nationals
60,Ian Anderson ,rhp,Braves
61,Sixto Sanchez ,rhp,Phillies
62,Ronald Acuna ,of,Braves
63,Amir Garrett ,lhp,Reds
64,Jake Bauers ,of/1b,Rays
65,Dominic Smith ,1b,Mets
66,A.J. Reed ,1b,Astros
67,David Paulino ,rhp,Astros
68,Lourdes Gurriel,of/3B,Blue Jays
69,Casey Gillaspie ,1b,Rays
70,Sean Reid-Foley ,rhp,Blue Jays
71,Kevin Maitan ,ss,Braves
72,Sean Newcomb ,lhp,Braves
73,Luis Ortiz ,rhp,Brewers
74,Brandon Woodruff,rhp,Brewers
75,Antonio Senzatela ,rhp,Rockies
76,Kyle Freeland ,lhp,Rockies
77,Walker Buehler ,rhp,Dodgers
78,Cal Quantrill ,rhp,Padres
79,A.J. Puk ,lhp,Athletics
80,Braxton Garrett ,lhp,Marlins
81,Matt Manning ,rhp,Tigers
82,Delvin Perez ,ss,Cardinals
83,Anthony Banda,lhp,Diamondbacks
84,Tyler Beede ,rhp,Giants
85,Justus Sheffield ,lhp,Yankees
86,Willie Calhoun ,2b/of,Dodgers
87,Isan Diaz ,ss/2b,Brewers
88,Rhys Hoskins,1b,Phillies
89,Rowdy Tellez ,1b,Blue Jays
90,Dylan Cease ,rhp,Cubs
91,Adrian Morejon ,lhp,Padres
92,Christian Arroyo ,ss/3b,Giants
93,Bo Bichette ,ss,Blue Jays
94,Luiz Gohara ,lhp,Braves
95,Matt Chapman,3b,Athletics
96,Jesus Sanchez ,of,Rays
97,Andres Gimenez,ss,Mets
98,Carter Kieboom ,ss,Nationals
99,Jordan Montgomery,lhp,Yankees
100,Chance Adams ,rhp,Yankees
