1,Yoan Moncada,Chicago White Sox,2B,Age: 21
2,Andrew Benintendi,Boston Red Sox,OF,Age: 22
3,Dansby Swanson,Atlanta Braves,SS,Age: 23
4,Victor Robles,Washington Nationals,OF,Age: 19
5,Amed Rosario,New York Mets,SS,Age: 21
6,Brendan Rodgers,Colorado Rockies,SS,Age: 20
7,Austin Meadows,Pittsburgh Pirates,OF,Age: 21
8,Rafael Devers,Boston Red Sox,3B,Age: 20
9,J.P. Crawford,Philadelphia Phillies,SS,Age: 22
10,Clint Frazier,New York Yankees,OF,Age: 22
11,Lucas Giolito,Chicago White Sox,RHP,Age: 22
12,Eloy Jimenez,Chicago Cubs,OF,Age: 20
13,Raimel Tapia,Colorado Rockies,OF,Age: 23
14,Franklin Barreto,Oakland Athletics,SS/2B,Age: 21
15,Nick Williams,Philadelphia Phillies,OF,Age: 23
16,Nick Senzel,Cincinnati Reds,3B,Age: 21
17,Lewis Brinson,Milwaukee Brewers,OF,Age: 22
18,Jorge Mateo,New York Yankees,SS,Age: 21
19,Josh Bell,Pittsburgh Pirates,1B/OF,Age: 24
20,Cody Bellinger,Los Angeles Dodgers,1B/OF,Age: 21
21,Gleyber Torres,New York Yankees,SS,Age: 20
22,Manuel Margot,San Diego Padres,OF,Age: 22
23,Tyler Glasnow,Pittsburgh Pirates,RHP,Age: 23
24,Alex Reyes,St. Louis Cardinals,RHP,Age: 22
25,Corey Ray,Milwaukee Brewers,OF,Age: 22
26,Ronald Acuna,Atlanta Braves,OF,Age: 19
27,Aaron Judge,New York Yankees,OF,Age: 24
28,Hunter Renfroe,San Diego Padres,OF,Age: 25
29,Jorge Alfaro,Philadelphia Phillies,C,Age: 23
30,Robert Gsellman,New York Mets,RHP,Age: 23
31,Kyle Tucker,Houston Astros,OF,Age: 20
32,Francis Martes,Houston Astros,RHP,Age: 21
33,Willy Adames,Tampa Bay Rays,SS,Age: 21
34,Jason Groome,Boston Red Sox,LHP,Age: 18
35,Anderson Espinoza,San Diego Padres,RHP,Age: 19
36,Ozzie Albies,Atlanta Braves,2B/SS,Age: 20
37,Dan Vogelbach,Seattle Mariners,1B/UT,Age: 24
38,Josh Hader,Milwaukee Brewers,LHP,Age: 22
39,Zack Collins,Chicago White Sox,C,Age: 22
40,Michael Kopech,Chicago White Sox,RHP,Age: 20
41,Yadier Alvarez,Los Angeles Dodgers,RHP,Age: 21
42,Bradley Zimmer,Cleveland Indians,OF,Age: 24
43,Mickey Moniak,Philadelphia Phillies,OF,Age: 18
44,Isan Diaz,Milwaukee Brewers,SS,Age: 20
45,Brent Honeywell,Tampa Bay Rays,RHP,Age: 22
46,Tyler O’Neill,Seattle Mariners,OF,Age: 21
47,Ian Happ,Chicago Cubs,2B/OF,Age: 22
48,Jesse Winker,Cincinnati Reds,OF,Age: 23
49,Kyle Lewis,Seattle Mariners,OF,Age: 21
50,Blake Rutherford,New York Yankees,OF,Age: 19
51,Reynaldo Lopez,Chicago White Sox,RHP,Age: 23
52,Amir Garrett,Cincinnati Reds,LHP,Age: 24
53,Alex Verdugo,Los Angeles Dodgers,OF,Age: 20
54,Francisco Mejia,Cleveland Indians,C,Age: 21
55,Leody Taveras,Texas Rangers,OF,Age: 18
56,Juan Soto,Washington Nationals,OF,Age: 18
57,Yusniel Diaz,Los Angeles Dodgers,OF,Age: 20
58,Sean Newcomb,Atlanta Braves,LHP,Age: 23
59,A.J. Puk,Oakland Athletics,LHP,Age: 21
60,Nick Gordon,Minnesota Twins,SS,Age: 21
61,Vladimir Guerrero Jr.,Toronto Blue Jays,3B,Age: 18
62,Chance Sisco,Baltimore Orioles,C,Age: 22
63,Mitch Keller,Pittsburgh Pirates,RHP,Age: 20
64,Sandy Alcantara,St. Louis Cardinals,RHP,Age: 21
65,Cal Quantrill,San Diego Padres,RHP,Age: 22
66,Franklyn Kilome,Philadelphia Phillies,RHP,Age: 21
67,Rowdy Tellez,Toronto Blue Jays,1B,Age: 22
68,Roman Quinn,Philadelphia Phillies,OF,Age: 23
69,Kevin Newman,Pittsburgh Pirates,SS,Age: 23
70,Yohander Mendez,Texas Rangers,LHP,Age: 22
71,Jose De Leon,Tampa Bay Rays,RHP,Age: 24
72,Brett Phillips,Milwaukee Brewers,OF,Age: 22
73,Lourdes Gurriel,Toronto Blue Jays,2B,Age: 23
74,Tom Murphy,Colorado Rockies,C,Age: 25
75,Trent Clark,Milwaukee Brewers,OF,Age: 20
76,Willie Calhoun,Los Angeles Dodgers,2B,Age: 22
77,Luis Alexander Basabe,Chicago White Sox,OF,Age: 20
78,Jahmai Jones,Los Angeles Angels ,,Age: 19
79,Anthony Alford,Toronto Blue Jays,OF,Age: 22
80,Ryan McMahon,Colorado Rockies,3B/1B,Age: 22
81,Dominic Smith,New York Mets,1B,Age: 21
82,Jeff Hoffman,Colorado Rockies,RHP,Age: 24
83,Albert Almora,Chicago Cubs,OF,Age: 22
84,Kevin Maitan,Atlanta Braves,SS,Age: 17
85,Triston McKenzie,Cleveland Indians,RHP,Age: 19
86,Matt Thaiss,Los Angeles Angels,1B,Age: 21
87,Matt Manning,Detroit Tigers,RHP,Age: 19
88,Derek Fisher,Houston Astros,OF,Age: 23
89,Robert Stephenson,Cincinnati Reds,RHP,Age: 24
90,Carson Fulmer,Chicago White Sox,RHP,Age: 23
91,Grant Holmes,Oakland Athletics,RHP,Age: 21
92,Justin Dunn,New York Mets,RHP,Age: 21
93,Trey Mancini,Baltimore Orioles,1B,Age: 25
94,Thomas Szapucki,New York Mets,LHP,Age: 20
95,Bobby Bradley,Cleveland Indians,1B,Age: 20
96,Greg Allen,Cleveland Indians,OF,Age: 24
97,Lucas Erceg,Milwaukee Brewers,3B,Age: 21
98,Delvin Perez,St. Louis Cardinals,SS,Age: 18
99,Alex Kirilloff,Minnesota Twins,OF,Age: 19
100,Dylan Cozens,Philadelphia Phillies,OF,Age: 22
101,Anderson Tejeda,Texas Rangers,SS,Age: 18
