1,Ronald Acuna,CF,Atlanta Braves
2,Vladimir Guerrero Jr.,3B,Toronto Blue Jays
3,Fernando Tatis Jr.,SS,San Diego Padres
4,Victor Robles,CF,Washington Nationals
5,Gleyber Torres,SS,New York Yankees
6,Eloy Jimenez,OF,Chicago White Sox
7,Francisco Mejia,C/3B,Cleveland Indians
8,Forrest Whitley,RHP,Houston Astros
9,Nick Senzel,3B,Cincinnati Reds
10,J.P. Crawford,SS,Philadelphia Phillies
11,Michael Kopech,RHP,Chicago White Sox
12,Walker Buehler,RHP,Los Angeles Dodgers
13,A.J. Puk,LHP,Oakland Athletics
14,MacKenzie Gore,LHP,San Diego Padres
15,Brent Honeywell,RHP,Tampa Bay Rays
16,Justus Sheffield,LHP,New York Yankees
17,Bo Bichette,SS,Toronto Blue Jays
18,Mitch Keller,RHP,Pittsburgh Pirates
19,Triston McKenzie,RHP,Cleveland Indians
20,Willy Adames,SS,Tampa Bay Rays
21,Kyle Tucker,OF,Houston Astros
22,Hunter Greene,RHP,Cincinnati Reds
23,Sixto Sanchez,RHP,Philadelphia Phillies
24,Corbin Burnes,RHP,Milwaukee Brewers
25,Royce Lewis,SS,Minnesota Twins
26,Kyle Wright,RHP,Atlanta Braves
27,Alex Reyes,RHP,St. Louis Cardinals
28,Brendan McKay,LHP/1B,Tampa Bay Rays
29,Brendan Rodgers,SS,Colorado Rockies
30,Jay Groome,LHP,Boston Red Sox
31,Ryan McMahon,3B/2B/1B,Colorado Rockies
32,Lewis Brinson,OF,Milwaukee Brewers
33,Scott Kingery,2B,Philadelphia Phillies
34,Jesus Sanchez,OF,Tampa Bay Rays
35,Keston Hiura,2B,Milwaukee Brewers
36,Alex Verdugo,OF,Los Angeles Dodgers
37,Nick Gordon,SS/2B,Minnesota Twins
38,Luis Urias,SS/2B,San Diego Padres
39,Jorge Mateo,SS,Oakland Athletics
40,Yordan Alvarez,1B,Houston Astros
41,Taylor Trammell,OF,Cincinnati Reds
42,Juan Soto,OF,Washington Nationals
43,Jack Flaherty,RHP,St. Louis Cardinals
44,Anthony Alford,OF,Toronto Blue Jays
45,Leody Taveras,OF,Texas Rangers
46,Luis Robert,OF,Chicago White Sox
47,Fernando Romero,RHP,Minnesota Twins
48,Ian Anderson,RHP,Atlanta Braves
49,Alec Hansen,RHP,Chicago White Sox
50,Luiz Gohara,LHP,Atlanta Braves
51,Michel Baez,RHP,San Diego Padres
52,Yadier Alvarez,RHP,Los Angeles Dodgers
53,Chance Sisco,C,Baltimore Orioles
54,Miguel Andujar,3B,New York Yankees
55,Jo Adell,OF,Los Angeles Angels
56,James Kaprielian,RHP,Oakland Athletics
57,Cristian Pache,OF,Atlanta Braves
58,David Peterson,LHP,New York Mets
59,JoJo Romero,LHP,Philadelphia Phillies
60,Mike Soroka,RHP,Atlanta Braves
61,Ke'Bryan Hayes,3B,Pittsburgh Pirates
62,Jaime Barria,RHP,Los Angels Angels
63,Peter Lambert,RHP,Colorado Rockies
64,Jon Duplantier,RHP,Arizona Diamondbacks
65,Shane Baz,RHP,Pittsburgh Pirates
66,Lucas Erceg,3B,Milwaukee Brewers
67,Franklin Perez,RHP,Detroit Tigers
68,Bryse Wilson,RHP,Atlanta Braves
69,Tyler Mahle,RHP,Cincinnati Reds
70,Austin Meadows,OF,Pittsburgh Pirates
71,Carson Kelly,C,St. Louis Cardinals
72,Adrian Morejon,LHP,San Diego Padres
73,Freicer Perez,RHP,New York Yankees
74,J.B. Bukauskas,RHP,Houston
75,Jahmai Jones,OF,Los Angeles Angels
76,Michael Chavis,3B,Boston Red Sox
77,Max Fried,LHP,Atlanta Braves
78,Aramis Ademan,SS,Chicago Cubs
79,Austin Hays,OF,Baltimore Orioles
80,Nolan Jones,3B,Cleveland Indians
81,Cal Quantrill,RHP,San Diego Padres
82,Chris Rodriguez,RHP,Los Angeles Angels
83,Jhailyn Ortiz,OF,Philadelphia Phillies
84,Adbert Alzolay,RHP,Chicago Cubs
85,Monte Harrison,OF,Milwaukee Brewers
86,Daz Cameron,OF,Detroit Tigers
87,Sandy Alcantara,RHP,Miami Marlins
88,Brandon Marsh,OF,Los Angeles Angels
89,Logan Allen,LHP,San Diego Padres
90,Touki Toussaint,RHP,Atlanta Braves
91,Bobby Bradley,1B,Cleveland Indians
92,Pavin Smith,1B,Arizona Diamondbacks
93,Brandon Woodruff,RHP,Milwaukee Brewers
94,Franklin Barreto,SS/2B,Oakland Athletics
95,Heliot Ramos,OF,San Francisco Giants
96,Joey Wentz,LHP,Atlanta Braves
97,Keibert Ruiz,C,Los Angeles Dodgers
98,Jorge Alfaro,C,Philadelphia Phillies
99,Albert Abreu,RHP,New York Yankees
100,Nate Pearson,RHP,Toronto Blue Jays
