Vladimir Guerrero Jr., 3B, Toronto Blue Jays
Jo Adell, OF, Los Angeles Angels
Fernando Tatis Jr., SS, San Diego Padres
Eloy Jimenez, OF, Chicago White Sox
Victor Robles, OF, Washington Nationals
Keston Hiura, 2B, Milwaukee Brewers
Forrest Whitley, RHP, Houston Astros
Royce Lewis, SS, Minnesota Twins
Nick Senzel, 3B/2B/SS?/OF?, Cincinnati Reds
Wander Franco, SS, Tampa Bay Rays
Taylor Trammell, OF, Cincinnati Reds
Bo Bichette, SS, Toronto Blue Jays
Jesus Luzardo, LHP, Oakland Athletics
Kyle Tucker, OF, Houston Astros
Nick Madrigal, 2B/SS, Chicago White Sox
Carter Kieboom, SS, Washington Nationals
Luis Urias, 2B, San Diego Padres
Mitch Keller, RHP, Pittsburgh Pirates
Alex Verdugo, OF, Los Angeles Dodgers
Francisco Mejia, C, San Diego Padres
Alex Reyes, RHP, St. Louis Cardinals
Brendan Rodgers, SS, Colorado Rockies
Sixto Sanchez, RHP, Philadelphia Phillies
Michael Kopech, RHP, Chicago White Sox
Brent Honeywell, RHP, Tampa Bay Rays
Dylan Cease, RHP, Chicago White Sox
Dustin May, RHP, Los Angeles Dodgers
MacKenzie Gore, LHP, San Diego Padres
Ian Anderson, RHP, Atlanta Braves
Austin Riley, 3B, Atlanta Braves
Keibert Ruiz, C, Los Angeles Dodgers
Jesus Sanchez, OF, Tampa Bay Rays
Brusdar Graterol, RHP, Minnesota Twins
Nolan Gorman, 3B, St. Louis Cardinals
Jonathan India, 3B/SS, Cincinnati Reds
Casey Mize, RHP, Detroit Tigers
Chris Paddack, RHP, San Diego Padres
Andres Gimenez, SS, New York Mets
Alex Kirilloff, OF, Minnesota Twins
Peter Alonso, 1B, New York Mets
Joey Bart, C, San Francisco Giants
Brendan McKay, 1B/LHP, Tampa Bay Rays
Triston McKenzie, RHP, Cleveland Indians
Yusniel Diaz, OF, Baltimore Orioles
Luis Robert, OF, Chicago White Sox
Josh James, RHP, Houston Astros
Leody Taveras, OF, Texas Rangers
Bubba Thompson, OF, Texas Rangers
Yordan Alvarez, 1B/OF, Houston Astros
Justus Sheffield, LHP, Seattle Mariners
Ryan Mountcastle, 3B, Baltimore Orioles
Seuly Matias, OF, Kansas City Royals
Mike Soroka, RHP, Atlanta Braves
Nate Pearson, RHP, Toronto Blue Jays
Ke’Bryan Hayes, 3B, Pittsburgh Pirates
Griffin Canning, RHP, Los Angeles Angels
Adonis Medina, RHP, Philadelphia Phillies
Kyle Wright, RHP, Atlanta Braves
Will Smith, C/IF, Los Angeles Dodgers
Bryse Wilson, RHP, Atlanta Braves
Khalil Lee, OF, Kansas City Royals
Cristian Pache, OF, Atlanta Braves
Jarred Kelenic, OF, Seattle Mariners
Jonathan Loaisiga, RHP, New York Yankees
Drew Waters, OF, Atlanta Braves
Estevan Florial, OF, New York Yankees
MJ Melendez, C, Kansas City Royals
Jahmai Jones, 2B, Los Angeles Angels
Jazz Chisholm, SS, Arizona Diamondbacks
Touki Toussaint, RHP, Atlanta Braves
Victor Victor Mesa, OF, Miami Marlins
Adrian Morejon, LHP, San Diego Padres
Sandy Alcantara, RHP, Miami Marlins
Luis Patino, RHP, San Diego Padres
Hunter Greene, RHP, Cincinnati Reds
Dane Dunning, RHP, Chicago White Sox
A.J. Puk, LHP, Oakland Athletics
Julio Pablo Martinez, OF, Texas Rangers
Lucius Fox, SS, Tampa Bay Rays
J.B. Bukauskas, RHP, Houston Astros
Luis Garcia, SS/3B, Washington Nationals
Travis Swaggerty, OF, Pittsburgh Pirates
Anderson Tejeda, SS, Texas Rangers
Logan Allen, LHP, San Diego Padres
Michel Baez, RHP, San Diego Padres
Nico Hoerner, SS, Chicago Cubs
Heliot Ramos, OF, San Francisco Giants
Shane Baz, RHP, Tampa Bay Rays
Danny Jansen, C, Toronto Blue Jays
Jon Duplantier, RHP, Arizona Diamondbacks
Oneil Cruz, SS, Pittsburgh Pirates
DL Hall, LHP, Baltimore Orioles
Luis Oviedo, RHP, Cleveland Indians
Brandon Marsh, OF, Los Angeles Angels
Sean Murphy, C, Oakland Athletics
Vidal Brujan, 2B, Tampa Bay Rays
Calvin Mitchell, OF, Pittsburgh Pirates
Garrett Hampson, 2B/SS, Colorado Rockies
Jordyn Adams, OF, Los Angeles Angels
Kristian Robinson, OF, Arizona Diamondbacks
Kyler Murray, OF, Oakland Athletics
