1,Vladimir Guerrero Jr.,Blue Jays 3B,Hit: 80 | Power: 70 | Speed: 40 | Fielding: 40 | Arm: 55
2,Ronald Acuna Jr.,Braves OF,Hit: 60 | Power: 70 | Speed: 70 | Fielding: 70 | Arm: 60
3,Juan Soto,Nationals OF,Hit: 70 | Power: 60 | Speed: 50 | Fielding: 55 | Arm: 50
4,Fernando Tatis Jr.,Padres SS,Hit: 60 | Power: 60 | Speed: 50 | Fielding: 55 | Arm: 60
5,Eloy Jimenez,White Sox OF,Hit: 60 | Power: 70 | Speed: 40 | Fielding: 45 | Arm: 45
6,Nick Senzel,Reds 3B/2B,Hit: 60 | Power: 60 | Speed: 55 | Fielding: 60 | Arm: 60
7,Bo Bichette,Blue Jays SS,Hit: 70 | Power: 60 | Speed: 50 | Fielding: 50 | Arm: 55
8,Victor Robles,Nationals OF,Hit: 60 | Power: 50 | Speed: 70 | Fielding: 70 | Arm: 60
9,Forrest Whitley,Astros RHP,Fastball: 70 | Curveball: 60 | Slider: 60 | Changeup: 55 | Cutter: 50 | Control: 55
10,Kyle Tucker,Astros OF,Hit: 60 | Power: 60 | Speed: 50 | Fielding: 55 | Arm: 50
11,Willy Adames,Rays SS,Hit: 55 | Power: 45 | Speed: 50 | Fielding: 60 | Arm: 60
12,Royce Lewis,Twins SS,Hit: 60 | Power: 55 | Speed: 60 | Fielding: 60 | Arm: 55
13,Jo Adell,Angels OF,Hit: 60 | Power: 70 | Speed: 70 | Fielding: 55 | Arm: 60
14,Mitch Keller,Pirates RHP,Fastball: 70 | Curveball: 60 | Changeup: 50 | Control: 60
15,Michael Kopech,White Sox RHP,Fastball: 80 | Slider: 60 | Changeup: 50 | Control: 45
16,Brendan Rodgers,Rockies SS,Hit: 60 | Power: 55 | Speed: 50 | Fielding: 55 | Arm: 60
17,Sixto Sanchez,Phillies RHP,Fastball: 70 | Slider: 55 | Changeup: 60 | Control: 60
18,Brent Honeywell,Rays RHP,Fastball: 60 | Curveball: 55 | Slider: 55 | Changeup: 60 | Control: 60 | Screwball: 70
19,Mike Soroka,Braves RHP,Fastball: 60 | Slider: 60 | Changeup: 55 | Control: 60
20,MacKenzie Gore,Padres LHP,Fastball: 60 | Curveball: 60 | Slider: 55 | Changeup: 60 | Control: 60
21,Jesus Luzardo,Athletics LHP,Fastball: 60 | Curveball: 55 | Changeup: 60 | Control: 55
22,Taylor Trammell,Reds OF,Hit: 55 | Power: 60 | Speed: 60 | Fielding: 55 | Arm: 40
23,Justus Sheffield,Yankees LHP,Fastball: 70 | Slider: 55 | Changeup: 55 | Control: 50
24,Adrian Morejon,Padres LHP,Fastball: 60 | Curveball: 50 | Changeup: 60 | Control: 55
25,Francisco Mejia,Indians C,Hit: 60 | Power: 45 | Speed: 40 | Fielding: 45 | Arm: 80
26,Brendan McKay,Rays LHP/1B,Hit: 60 | Power: 50 | Speed: 30 | Fielding: 55 | Arm: 60
27,Alex Verdugo,Dodgers OF,Hit: 60 | Power: 50 | Speed: 50 | Fielding: 55 | Arm: 70
28,Keibert Ruiz,Dodgers C,Hit: 60 | Power: 45 | Speed: 40 | Fielding: 55 | Arm: 50
29,Alex Reyes,Cardinals RHP,Fastball: 80 | Curveball: 70 | Changeup: 60 | Control: 50
30,Austin Riley,Braves 3B,Hit: 55 | Power: 60 | Speed: 40 | Fielding: 55 | Arm: 70
31,Austin Meadows,Pirates OF,Hit: 60 | Power: 55 | Speed: 60 | Fielding: 60 | Arm: 50
32,Jesus Sanchez,Rays OF,Hit: 60 | Power: 55 | Speed: 55 | Fielding: 50 | Arm: 50
33,Triston McKenzie,Indians RHP,Fastball: 60 | Curveball: 60 | Changeup: 55 | Control: 55
34,Hunter Greene,Reds RHP,Fastball: 80 | Slider: 55 | Changeup: 50 | Control: 55
35,Luis Urias,Padres 2B,Hit: 70 | Power: 40 | Speed: 50 | Fielding: 60 | Arm: 55
36,Keston Hiura,Brewers 2B,Hit: 60 | Power: 55 | Speed: 45 | Fielding: 45 | Arm: 45
37,Yordan Alvarez,Astros 1B,Hit: 55 | Power: 60 | Speed: 50 | Fielding: 50 | Arm: 45
38,Alex Kirilloff,Twins OF,Hit: 60| Power: 50 | Speed: 50 | Fielding: 50 | Arm: 50
39,Ian Anderson,Braves RHP,Fastball: 60 | Curveball: 60 | Changeup: 55 | Control: 50
40,Kyle Wright,Braves RHP,Fastball: 70 | Curveball: 60 | Slider: 60 | Changeup: 55 | Control: 50
41,Jake Bauers,Rays 1B,Hit: 55 | Power: 50 | Speed: 50 | Fielding: 50 | Arm: 45
42,Franklin Perez,Tigers RHP,Fastball: 60 | Curveball: 60 | Slider: 45 | Changeup: 50 | Control: 60
